CT1,CT2,CT3,CT_Avg,total_current,state,created_at,vibration,therm_temp
5.537015915,6.458762169,5.782728672,5.926168919,17.77850723,ON,2024-08-05 03:55:17,1739.0,45.14292145
5.641097069,6.391913414,5.674002647,5.902337551,17.70701218,ON,2024-08-05 03:55:22,1787.0,45.15800476
4.521728039,5.151371479,4.716442108,4.796514034,14.38954163,ON,2024-08-05 03:55:27,1963.0,45.23336411
3.530930519,4.523272038,3.741514444,3.931905746,11.79571724,ON,2024-08-05 03:55:32,1911.0,45.26086426
3.200301647,4.178686142,4.044647694,3.807878494,11.42363548,ON,2024-08-05 03:56:34,1891.0,46.1231575
3.451370716,4.204061508,3.692509651,3.782647371,11.34794235,ON,2024-08-05 03:56:38,1866.0,46.07928848
4.154131889,5.043575764,4.650249004,4.61598587,13.84795761,ON,2024-08-05 03:56:43,1758.0,46.13299179
4.464039803,5.311948776,4.56785202,4.781280041,14.3438406,ON,2024-08-05 03:56:48,2035.0,46.18627548
3.506765842,4.268864155,3.613922119,3.796517372,11.38955212,ON,2024-08-05 03:56:53,1799.0,46.25440216
4.389772415,5.494958878,4.860459805,4.915063858,14.74519157,ON,2024-08-05 03:56:58,1839.0,46.32176971
4.405959606,5.208348751,4.640255451,4.751521587,14.25456429,ON,2024-08-05 03:57:03,1841.0,46.37326813
4.294510841,5.358622551,4.645503044,4.766211987,14.29863644,ON,2024-08-05 03:57:08,1806.0,46.39212799
3.298885584,4.049648762,3.37204814,3.573527575,10.72058296,ON,2024-08-05 03:57:13,1856.0,46.4509697
3.942398071,6.016615868,4.568084717,4.842366219,14.52709866,ON,2024-08-05 03:57:18,1981.0,46.50823593
4.581095695,5.328538895,4.59401989,4.834551334,14.50365448,ON,2024-08-05 03:57:23,1675.0,46.58027649
3.646666288,4.853341579,4.144035339,4.214681149,12.64404297,ON,2024-08-05 03:57:28,1750.0,46.60230637
3.492205381,4.113014698,3.639267206,3.74816227,11.24448681,ON,2024-08-05 03:57:33,1855.0,46.64151382
4.347280502,5.403974056,4.932988644,4.894748211,14.68424416,ON,2024-08-05 03:57:38,1890.0,46.69391251
4.445845604,5.450606823,4.769621849,4.888691425,14.6660738,ON,2024-08-05 03:57:43,1949.0,46.74432373
3.813676357,4.722978115,4.111896992,4.216184139,12.64855194,ON,2024-08-05 03:57:48,1895.0,46.81172943
3.171070814,4.23635149,3.808365822,3.738595963,11.21578789,ON,2024-08-05 03:57:53,1937.0,46.89771271
3.421522379,4.583465099,3.932388783,3.979125261,11.93737602,ON,2024-08-05 03:57:58,1871.0,46.92526627
4.781350136,6.379554749,5.644412518,5.601772308,16.80531693,ON,2024-08-05 03:58:03,2031.0,46.93814468
5.045436859,6.200680733,5.75210619,5.666074753,16.99822426,ON,2024-08-05 03:58:08,2046.0,47.00842667
5.0580163,6.26449585,5.635645866,5.652719021,16.95815659,ON,2024-08-05 03:58:13,1726.0,47.0744133
3.975744963,4.894011974,4.565585613,4.478447437,13.43534279,ON,2024-08-05 03:58:18,1807.0,47.08954239
5.51626873,6.333343983,5.549664974,5.799759388,17.39927864,ON,2024-08-05 03:58:23,1940.0,47.13251877
5.320883274,6.600486755,5.543426991,5.82159853,17.46479607,ON,2024-08-05 03:58:28,1700.0,47.17485046
3.509166956,4.435089588,3.751155615,3.898470879,11.69541264,ON,2024-08-05 03:58:33,1856.0,47.21530914
5.09868145,6.043325424,5.342754364,5.494920254,16.48476028,ON,2024-08-05 03:58:38,1971.0,47.27487564
5.484518051,6.071397305,5.426774502,5.660896778,16.98269081,ON,2024-08-05 03:58:43,2026.0,47.34494019
5.562155724,6.450758934,5.426348686,5.813087463,17.43926239,ON,2024-08-05 03:58:48,1606.0,47.38257599
3.436378002,4.209017754,3.77898407,3.80812645,11.42437935,ON,2024-08-05 03:58:53,1815.0,47.45248032
5.145535946,6.083220959,5.111319065,5.44669199,16.34007645,ON,2024-08-05 03:58:58,1813.0,47.54317856
5.082713127,6.369216919,5.738214493,5.730047703,17.19014359,ON,2024-08-05 03:59:03,1808.0,47.59073639
5.11157608,6.70138216,6.006825447,5.939927578,17.81978226,ON,2024-08-05 03:59:08,1744.0,47.62065506
3.473379612,4.279686928,3.826548815,3.859871864,11.57961559,ON,2024-08-05 03:59:33,1839.0,47.99720001
3.453932762,4.384520054,3.977844477,3.938765764,11.81629753,ON,2024-08-05 03:59:38,1904.0,48.11646271
3.924774408,4.809677124,4.209073544,4.314508438,12.94352531,ON,2024-08-05 03:59:43,1905.0,48.17351913
4.664689541,6.391389847,5.691162109,5.58241415,16.74724197,ON,2024-08-05 03:59:48,1773.0,48.3053627
4.964936256,6.474658966,5.717471123,5.719022274,17.15706635,ON,2024-08-05 03:59:53,1845.0,48.37301636
3.23197341,4.467880249,3.827685118,3.842513084,11.52753925,ON,2024-08-05 03:59:58,1954.0,48.23076248
5.038639069,5.811928272,5.358531952,5.40303278,16.20909882,ON,2024-08-05 04:00:03,2032.0,48.2191658
4.899523735,6.291696548,5.430401325,5.540540695,16.62162209,ON,2024-08-05 04:00:08,1776.0,48.22955704
5.412569523,6.412085056,5.571683407,5.798779011,17.39633751,ON,2024-08-05 04:00:13,1675.0,48.25357819
3.404027462,4.215869427,3.783085346,3.800994158,11.40298271,ON,2024-08-05 04:00:18,1799.0,48.30779648
5.469598293,6.125743866,5.352893353,5.649412155,16.94823647,ON,2024-08-05 04:00:23,1936.0,48.31904602
5.087064266,6.397654533,5.738547325,5.741088867,17.2232666,ON,2024-08-05 04:00:28,1999.0,48.35483551
3.473317623,4.075066566,3.840246439,3.796210289,11.38863087,ON,2024-08-05 04:00:33,2045.0,48.39017868
3.748352289,4.860185146,4.178747654,4.262428284,12.78728485,ON,2024-08-05 04:00:38,1680.0,48.48992538
4.930441856,6.011518478,5.73183918,5.557933331,16.67379951,ON,2024-08-05 04:00:43,1743.0,48.48389816
5.324905872,6.78758955,5.587193012,5.899896145,17.69968796,ON,2024-08-05 04:00:48,1764.0,48.51442719
3.079214096,4.297124863,3.809155941,3.728498459,11.18549538,ON,2024-08-05 04:00:53,1840.0,48.56382751
3.262931347,4.181126118,3.707995892,3.717351198,11.15205383,ON,2024-08-05 04:00:58,1889.0,48.60466766
3.593096495,4.592269897,3.857176542,4.014181137,12.04254341,ON,2024-08-05 04:01:03,1823.0,48.67950439
4.159649849,5.325565338,4.479150295,4.654788494,13.96436501,ON,2024-08-05 04:01:08,1782.0,48.69851685
3.57179594,4.358483315,3.85314846,3.927809477,11.78342819,ON,2024-08-05 04:01:13,1816.0,48.78464508
3.192342758,4.512403965,3.884117365,3.862954855,11.58886433,ON,2024-08-05 04:01:18,1859.0,48.79246521
3.404895782,4.262066841,3.583420515,3.750127792,11.25038338,ON,2024-08-05 04:01:23,1950.0,48.8547554
4.123366356,5.182274818,4.459658623,4.588433266,13.7652998,ON,2024-08-05 04:01:28,1758.0,48.91589737
4.368475437,4.989629745,4.609730721,4.655945301,13.96783543,ON,2024-08-05 04:01:33,1786.0,48.95941925
4.094369411,5.205368996,4.800490856,4.70007658,14.10022926,ON,2024-08-05 04:01:38,1747.0,49.00628662
3.290275812,4.139717102,3.784382582,3.738125086,11.2143755,ON,2024-08-05 04:01:43,1964.0,49.06083679
3.689776182,4.692258358,4.041685104,4.141239643,12.42371941,ON,2024-08-05 04:01:48,1723.0,49.18555832
4.045948029,5.206445694,3.945293665,4.39922905,13.19768715,ON,2024-08-05 04:01:53,2018.0,49.19147491
